repository_name,owner,url,stars,commits,repo_age_days,open_issues,closed_issues,comments,unique_commenters,issue_span_days
spacedrive,spacedriveapp,https://github.com/spacedriveapp/spacedrive,38276,4883,1718,20,522,1007,203,1485
istio,istio,https://github.com/istio/istio,38210,26285,3491,400,21535,1005,141,3436
MPAndroidChart,PhilJay,https://github.com/PhilJay/MPAndroidChart,38202,2072,4430,2067,2898,1014,388,4394
cli,httpie,https://github.com/httpie/cli,38197,1797,5220,185,724,1005,303,5175
impress.js,impress,https://github.com/impress/impress.js,38182,423,5278,51,433,1001,282,5255
Langchain-Chatchat,chatchat-space,https://github.com/chatchat-space/Langchain-Chatchat,38157,2471,1168,10,4247,1011,394,1165
tesseract.js,naptha,https://github.com/naptha/tesseract.js,38133,846,4005,31,707,1004,388,3928
google-research,google-research,https://github.com/google-research/google-research,38118,5046,2807,1102,352,1001,419,2766
Sunshine,LizardByte,https://github.com/LizardByte/Sunshine,38097,3336,1638,91,1213,1005,266,1609
qBittorrent,qbittorrent,https://github.com/qbittorrent/qBittorrent,38097,13780,5241,2531,15021,1000,294,5052
ShareX,ShareX,https://github.com/ShareX/ShareX,38059,8792,4628,648,6793,1000,210,4597
aspnetcore,dotnet,https://github.com/dotnet/aspnetcore,38021,56460,4475,3700,35462,1094,300,4428
ToolJet,ToolJet,https://github.com/ToolJet/ToolJet,38009,16515,1899,520,4704,1000,196,1897
RevokeMsgPatcher,huiyadanli,https://github.com/huiyadanli/RevokeMsgPatcher,37892,305,2517,54,969,1008,417,2497
freecodecamp.cn,FreeCodeCampChina,https://github.com/FreeCodeCampChina/freecodecamp.cn,37710,8845,3541,143,445,1002,328,3467
portainer,portainer,https://github.com/portainer/portainer,37704,5913,3675,700,5395,1024,288,3655
sqlmap,sqlmapproject,https://github.com/sqlmapproject/sqlmap,37634,10634,5098,41,5376,1001,118,5097
v,vlang,https://github.com/vlang/v,37624,23421,2680,31,10517,1001,151,2673
taro,NervJS,https://github.com/NervJS/taro,37530,14349,2986,1629,11825,1008,272,2926
compose,docker,https://github.com/docker/compose,37511,5768,4567,77,8267,1001,390,4542
aseprite,aseprite,https://github.com/aseprite/aseprite,37437,10631,4313,1896,2684,1001,91,4313
zoxide,ajeetdsouza,https://github.com/ajeetdsouza/zoxide,37432,601,2289,120,618,1016,225,2283
Open-Assistant,LAION-AI,https://github.com/LAION-AI/Open-Assistant,37399,3477,1276,229,1419,1005,155,1253
arthas,alibaba,https://github.com/alibaba/arthas,37359,2217,2843,383,1765,1001,318,2831
tutorials,eugenp,https://github.com/eugenp/tutorials,37344,20668,4791,17,774,1003,239,4565
deeplearningbook-chinese,exacity,https://github.com/exacity/deeplearningbook-chinese,37286,730,3473,64,139,1000,172,3006
mattermost,mattermost,https://github.com/mattermost/mattermost,37259,22666,4014,576,8709,1000,271,4004
CLIProxyAPI,router-for-me,https://github.com/router-for-me/CLIProxyAPI,37225,2677,345,255,1667,1001,227,335
tiptap,ueberdosis,https://github.com/ueberdosis/tiptap,37202,7857,2852,800,2822,1001,385,2845
umami,umami-software,https://github.com/umami-software/umami,37111,6150,2155,83,2094,1000,191,2122
servo,servo,https://github.com/servo/servo,37046,56652,5237,2873,12994,1000,139,5180
xyflow,xyflow,https://github.com/xyflow/xyflow,37025,6195,2523,90,2307,1026,230,2437
MockingBird,babysor,https://github.com/babysor/MockingBird,36904,215,1769,477,415,1012,302,1652
pytorch-image-models,huggingface,https://github.com/huggingface/pytorch-image-models,36873,3116,2686,44,988,1000,219,2520
shadowsocks-android,shadowsocks,https://github.com/shadowsocks/shadowsocks-android,36688,3741,4925,62,2458,1003,243,4893
harness,harness,https://github.com/harness/harness,36672,4142,4507,86,1939,1001,236,4493
date-fns,date-fns,https://github.com/date-fns/date-fns,36576,2588,4266,656,1389,1006,394,4251
typeorm,typeorm,https://github.com/typeorm/typeorm,36536,6025,3755,422,8177,1006,178,3698
LightRAG,HKUDS,https://github.com/HKUDS/LightRAG,36459,8348,617,198,1254,1000,380,607
fastify,fastify,https://github.com/fastify/fastify,36455,4741,3543,76,2098,1006,104,3527
Trilium,TriliumNext,https://github.com/TriliumNext/Trilium,36412,31736,3306,739,4655,1001,191,3087
dioxus,DioxusLabs,https://github.com/DioxusLabs/dioxus,36344,7165,1973,609,1954,1000,213,1886
