repository_name,owner,url,stars,commits,repo_age_days,open_issues,closed_issues,comments,unique_commenters,issue_span_days
Java,TheAlgorithms,https://github.com/TheAlgorithms/Java,65823,3211,3617,11,1222,1006,325,3430
webpack,webpack,https://github.com/webpack/webpack,65782,18806,5206,95,10097,1001,158,5091
uBlock,gorhill,https://github.com/gorhill/uBlock,65406,13965,4089,13,3434,1002,173,2361
docusaurus,facebook,https://github.com/facebook/docusaurus,65177,6656,3278,294,3151,1003,201,3254
ripgrep,BurntSushi,https://github.com/BurntSushi/ripgrep,65030,2216,3744,117,1683,1054,254,3556
alacritty,alacritty,https://github.com/alacritty/alacritty,64556,2486,3766,325,5986,1018,353,3550
prometheus,prometheus,https://github.com/prometheus/prometheus,64438,17752,4947,518,5957,1066,101,4903
keras,keras-team,https://github.com/keras-team/keras,64078,12481,4093,141,12643,1008,330,4092
ladybird,LadybirdBrowser,https://github.com/LadybirdBrowser/ladybird,64022,79302,742,508,1212,1003,273,740
openinterpreter,openinterpreter,https://github.com/openinterpreter/openinterpreter,63860,5909,1063,263,815,1001,389,1040
traefik,traefik,https://github.com/traefik/traefik,63638,6281,3924,694,6071,1005,322,3915
nocodb,nocodb,https://github.com/nocodb/nocodb,63402,43186,3147,441,4249,1000,352,3145
nerd-fonts,ryanoasis,https://github.com/ryanoasis/nerd-fonts,63313,2975,4206,59,1083,1013,200,4200
rustlings,rust-lang,https://github.com/rust-lang/rustlings,63187,3354,3922,26,738,1000,364,3914
socket.io,socketio,https://github.com/socketio/socket.io,63124,7737,5936,166,3497,1003,315,5929
cline,cline,https://github.com/cline/cline,63057,6103,705,532,3419,1003,346,701
tldr,tldr-pages,https://github.com/tldr-pages/tldr,62830,22820,4568,228,1527,1019,133,4564
vaultwarden,dani-garcia,https://github.com/dani-garcia/vaultwarden,62237,3041,3035,13,2666,1057,169,2973
scrapy,scrapy,https://github.com/scrapy/scrapy,62199,11141,5953,429,2843,1003,226,5389
oh-my-openagent,code-yeongyu,https://github.com/code-yeongyu/oh-my-openagent,61923,8582,190,350,1804,1006,179,184
pi,earendil-works,https://github.com/earendil-works/pi,61763,4503,306,29,3345,1001,165,210
sway,FuelLabs,https://github.com/FuelLabs/sway,61638,3619,1968,866,2433,1002,48,1957
warp,warpdotdev,https://github.com/warpdotdev/warp,61563,1046,1799,3702,6535,1005,469,1799
drawio-desktop,jgraph,https://github.com/jgraph/drawio-desktop,61558,1139,3303,70,1728,1002,313,3212
redux,reduxjs,https://github.com/reduxjs/redux,61471,4161,4030,42,2032,1017,182,4025
anything-llm,Mintplex-Labs,https://github.com/Mintplex-Labs/anything-llm,61449,2029,1103,303,3281,1001,259,1098
docling,docling-project,https://github.com/docling-project/docling,61402,1096,702,865,961,1002,299,694
openpilot,commaai,https://github.com/commaai/openpilot,61345,17245,3486,86,3185,1001,243,3468
lodash,lodash,https://github.com/lodash/lodash,61229,7701,5178,70,4288,1006,211,5155
Magisk,topjohnwu,https://github.com/topjohnwu/Magisk,60895,7638,3563,48,6505,1000,294,3554
memos,usememos,https://github.com/usememos/memos,60639,4544,1646,12,2945,1003,247,1638
awesome-chatgpt-prompts-zh,PlexPt,https://github.com/PlexPt/awesome-chatgpt-prompts-zh,60607,179,1277,40,61,1000,193,1215
nuxt,nuxt,https://github.com/nuxt/nuxt,60408,14988,3515,658,16708,1032,236,3501
markdown-here,adam-p,https://github.com/adam-p/markdown-here,60208,852,5142,301,334,1003,250,5041
astro,withastro,https://github.com/withastro/astro,60048,14452,1914,92,6246,1001,147,1906
spring-framework,spring-projects,https://github.com/spring-projects/spring-framework,60017,35117,5664,338,27876,7730,10,8233
Real-Time-Voice-Cloning,CorentinJ,https://github.com/CorentinJ/Real-Time-Voice-Cloning,59907,303,2573,162,951,1001,334,2550
jquery,jquery,https://github.com/jquery/jquery,59832,6844,6278,73,2310,1002,85,4233
shadowsocks-windows,shadowsocks,https://github.com/shadowsocks/shadowsocks-windows,59563,1502,4896,189,2726,1002,204,4829
llama,meta-llama,https://github.com/meta-llama/llama,59453,148,1213,464,654,1000,494,1197
TrendRadar,sansan0,https://github.com/sansan0/TrendRadar,59318,238,409,28,453,1004,331,372
bat,sharkdp,https://github.com/sharkdp/bat,59282,3924,2973,317,1294,1000,228,2972
pi-hole,pi-hole,https://github.com/pi-hole/pi-hole,59231,7133,4386,27,3114,1000,99,4125
mkcert,FiloSottile,https://github.com/FiloSottile/mkcert,59058,165,2908,113,241,1001,388,2887
pocketbase,pocketbase,https://github.com/pocketbase/pocketbase,59044,2377,1437,18,1993,1000,263,1433
ruflo,ruvnet,https://github.com/ruvnet/ruflo,58988,6705,373,444,860,1004,196,364
autogen,microsoft,https://github.com/microsoft/autogen,58879,3782,1028,536,2510,1013,322,1182
rails,rails,https://github.com/rails/rails,58658,98218,6635,472,18119,1024,257,6280
GPT-SoVITS,RVC-Boss,https://github.com/RVC-Boss/GPT-SoVITS,58585,1044,879,784,1247,1000,296,876
mem0,mem0ai,https://github.com/mem0ai/mem0,58358,2261,1087,115,1547,1000,207,1085
ultralytics,ultralytics,https://github.com/ultralytics/ultralytics,58294,4114,1369,76,12672,1001,178,1362
starship,starship,https://github.com/starship/starship,58269,4289,2627,798,1879,1004,265,2612
meilisearch,meilisearch,https://github.com/meilisearch/meilisearch,58058,14086,2971,244,2197,1010,157,2947
rclone,rclone,https://github.com/rclone/rclone,57855,9815,4470,963,5111,1008,248,4392
yolov5,ultralytics,https://github.com/ultralytics/yolov5,57509,2985,2215,36,9407,1036,178,2196
marktext,marktext,https://github.com/marktext/marktext,57233,1820,3133,1055,2047,1001,168,3126
context7,upstash,https://github.com/upstash/context7,57188,861,441,12,2075,1003,274,434
fuel-core,FuelLabs,https://github.com/FuelLabs/fuel-core,57020,1501,2113,161,999,1000,80,2049
coolify,coollabsio,https://github.com/coollabsio/coolify,56807,15887,1962,597,3165,1000,282,1961
rich,Textualize,https://github.com/Textualize/rich,56601,4458,2405,218,1283,1001,212,2324
OpenManus,FoundationAgents,https://github.com/FoundationAgents/OpenManus,56518,526,462,337,416,1001,476,452
face_recognition,ageitgey,https://github.com/ageitgey/face_recognition,56479,238,3386,779,598,1014,277,3352
react-router,remix-run,https://github.com/remix-run/react-router,56434,10965,4408,89,8260,1002,134,4398
ghostty,ghostty-org,https://github.com/ghostty-org/ghostty,56317,16351,1535,146,2051,1003,163,1402
appwrite,appwrite,https://github.com/appwrite/appwrite,56279,35809,2621,521,3873,1008,213,2473
termux-app,termux,https://github.com/termux/termux-app,56248,1505,3884,475,2624,1064,356,3880
gitea,go-gitea,https://github.com/go-gitea/gitea,56233,20972,3509,2505,13242,1002,135,3508
gatsby,gatsbyjs,https://github.com/gatsbyjs/gatsby,55933,21866,4038,218,13914,1020,192,4008
winutil,ChrisTitusTech,https://github.com/ChrisTitusTech/winutil,55808,1495,1505,10,2270,1000,325,1492
Mole,tw93,https://github.com/tw93/Mole,55613,2448,261,17,669,1001,212,252
joplin,laurent22,https://github.com/laurent22/joplin,55164,15186,3432,560,7473,1009,237,3140
first-contributions,firstcontributions,https://github.com/firstcontributions/first-contributions,54430,28967,3551,48,1417,1002,317,3546
powerlevel10k,romkatv,https://github.com/romkatv/powerlevel10k,54414,4324,2664,125,2492,1004,118,2655
ChatGPT,lencx,https://github.com/lencx/ChatGPT,54379,635,1282,903,369,1014,273,1277
segment-anything,facebookresearch,https://github.com/facebookresearch/segment-anything,54339,49,1176,535,182,1001,609,1055
dive,wagoodman,https://github.com/wagoodman/dive,54264,508,2951,169,206,1001,436,2877
typst,typst,https://github.com/typst/typst,54157,4762,2451,1178,3153,1000,290,2154
element,ElemeFE,https://github.com/ElemeFE/element,54117,4612,3568,2649,15245,1001,263,3543
requests,psf,https://github.com/psf/requests,54039,6476,5597,143,4012,1012,181,5593
Ghost,TryGhost,https://github.com/TryGhost/Ghost,53878,45824,4786,68,7212,1009,45,4781
PowerShell,PowerShell,https://github.com/PowerShell/PowerShell,53871,11464,3801,1239,12229,1000,83,3799
ImHex,WerWolv,https://github.com/WerWolv/ImHex,53829,6308,2039,330,1263,1001,257,2028
core,vuejs,https://github.com/vuejs/core,53808,7078,2921,633,5387,1002,205,2819
normalize.css,necolas,https://github.com/necolas/normalize.css,53537,360,5517,48,470,1005,282,5402
Flowise,FlowiseAI,https://github.com/FlowiseAI/Flowise,53487,3600,1168,665,1964,1002,328,1154
material-design-icons,google,https://github.com/google/material-design-icons,53432,301,4264,395,1183,1001,523,4256
pdf.js,mozilla,https://github.com/mozilla/pdf.js,53432,22891,5525,375,10137,1003,105,5486
crewAI,crewAIInc,https://github.com/crewAIInc/crewAI,53279,2517,958,56,1952,1004,421,924
jellyfin,jellyfin,https://github.com/jellyfin/jellyfin,53148,29124,2741,444,8026,1004,163,2741
Docker-OSX,sickcodes,https://github.com/sickcodes/Docker-OSX,52583,504,2198,397,288,1023,251,2190
ionic-framework,ionic-team,https://github.com/ionic-team/ionic-framework,52509,14510,4677,593,21582,1019,224,4671
odoo,odoo,https://github.com/odoo/odoo,52351,200476,4412,3707,15291,1018,262,4408
prettier,prettier,https://github.com/prettier/prettier,51968,11364,3481,1173,6079,1044,263,3448
Motrix,agalwood,https://github.com/agalwood/Motrix,51935,1170,2732,761,602,1000,199,2717
etcd,etcd-io,https://github.com/etcd-io/etcd,51805,24937,4722,108,7090,1009,145,4694
windows,dockur,https://github.com/dockur/windows,51663,584,879,107,901,1002,235,875
minimind,jingyaogong,https://github.com/jingyaogong/minimind,51591,355,684,20,606,1000,307,646
lx-music-desktop,lyswhut,https://github.com/lyswhut/lx-music-desktop,51511,2531,2493,1174,1298,1002,283,2485
jekyll,jekyll,https://github.com/jekyll/jekyll,51486,11872,6443,128,4806,1001,298,6263
guava,google,https://github.com/google/guava,51474,7370,4396,619,3042,1002,25,4232
freqtrade,freqtrade,https://github.com/freqtrade/freqtrade,51352,32057,3311,23,5598,1000,128,3203
lazydocker,jesseduffield,https://github.com/jesseduffield/lazydocker,51322,892,2581,193,216,1001,373,2493
DefinitelyTyped,DefinitelyTyped,https://github.com/DefinitelyTyped/DefinitelyTyped,51264,91208,4997,564,7552,1001,226,4985
go-ethereum,ethereum,https://github.com/ethereum/go-ethereum,51126,17093,4550,180,8498,1003,100,4535
MediaCrawler,NanmiCoder,https://github.com/NanmiCoder/MediaCrawler,51072,770,1098,153,454,1004,327,1091
Semantic-UI,Semantic-Org,https://github.com/Semantic-Org/Semantic-UI,51066,6749,4811,964,5269,1002,314,4436
plane,makeplane,https://github.com/makeplane/plane,50694,7039,1300,761,1010,1000,317,1190
whisper.cpp,ggml-org,https://github.com/ggml-org/whisper.cpp,50646,4651,1355,1043,887,1002,266,1352
dbeaver,dbeaver,https://github.com/dbeaver/dbeaver,50511,28680,3886,3210,17109,1050,213,3886
llama_index,run-llama,https://github.com/run-llama/llama_index,50082,7830,1317,178,6948,1000,262,1296
bulma,jgthms,https://github.com/jgthms/bulma,50076,1946,3791,345,2403,1000,449,3759
litellm,BerriAI,https://github.com/BerriAI/litellm,50075,39656,1050,1390,9400,1267,69,1049
Fooocus,lllyasviel,https://github.com/lllyasviel/Fooocus,50032,1144,1037,238,1421,1000,389,1025
mastodon,mastodon,https://github.com/mastodon/mastodon,50014,21550,3762,4256,8679,1000,245,3760
expo,expo,https://github.com/expo/expo,50009,32687,3587,285,18490,1003,314,3565
json,nlohmann,https://github.com/nlohmann/json,49912,4936,4725,26,2350,1063,150,4562
remotion,remotion-dev,https://github.com/remotion-dev/remotion,49795,33700,2179,112,2747,1018,171,2155
cypress,cypress-io,https://github.com/cypress-io/cypress,49710,23079,4117,1132,14304,1104,292,4094
twenty,twentyhq,https://github.com/twentyhq/twenty,49705,12654,1288,99,6424,1001,87,1141
query,TanStack,https://github.com/TanStack/query,49703,4811,2466,71,2251,1008,284,2456
alist,AlistGo,https://github.com/AlistGo/alist,49643,2434,1996,527,3939,1013,230,1990
penpot,penpot,https://github.com/penpot/penpot,49555,22527,3816,592,2056,1003,168,3428
huginn,huginn,https://github.com/huginn/huginn,49457,4059,4841,612,1578,1026,109,4829
jadx,skylot,https://github.com/skylot/jadx,49013,2662,4833,416,1679,1000,228,4806
BMAD-METHOD,bmad-code-org,https://github.com/bmad-code-org/BMAD-METHOD,48966,1916,424,49,951,1006,279,414
pandas,pandas-dev,https://github.com/pandas-dev/pandas,48959,38106,5770,2953,25356,1000,120,5734
goose,aaif-goose,https://github.com/aaif-goose/goose,48877,4695,657,173,2149,1003,295,656
julia,JuliaLang,https://github.com/JuliaLang/julia,48812,62077,5530,3775,22224,1009,110,5524
dayjs,iamkun,https://github.com/iamkun/dayjs,48651,1644,2984,962,877,1012,335,2981
terraform,hashicorp,https://github.com/hashicorp/terraform,48637,35532,4472,1757,19954,1001,329,4457
kubernetes-the-hard-way,kelseyhightower,https://github.com/kelseyhightower/kubernetes-the-hard-way,48624,296,3626,23,416,1000,482,3572
x64dbg,x64dbg,https://github.com/x64dbg/x64dbg,48613,6141,4078,565,2138,1003,60,4075
RxJava,ReactiveX,https://github.com/ReactiveX/RxJava,48236,6427,4902,21,3251,1009,89,4887
type-challenges,type-challenges,https://github.com/type-challenges/type-challenges,48196,1028,2149,33144,4021,1021,517,2147
htmx,bigskysoftware,https://github.com/bigskysoftware/htmx,48183,3541,2250,607,1105,1000,153,2219
moment,moment,https://github.com/moment/moment,47970,4064,5581,249,3916,1001,279,5463
ClickHouse,ClickHouse,https://github.com/ClickHouse/ClickHouse,47948,239177,3661,4868,24156,1001,216,3648
ruff,astral-sh,https://github.com/astral-sh/ruff,47937,15596,1402,1662,6409,1001,190,1391
tldraw,tldraw,https://github.com/tldraw/tldraw,47716,5870,1859,359,2095,1008,225,1816
metabase,metabase,https://github.com/metabase/metabase,47646,42713,4147,3813,21408,1000,158,4109
gogs,gogs,https://github.com/gogs/gogs,47597,6311,4502,931,4264,1006,212,4498
Win11Debloat,Raphire,https://github.com/Raphire/Win11Debloat,47438,440,2052,30,309,1012,200,1383
pixijs,pixijs,https://github.com/pixijs/pixijs,47376,8706,4888,285,5830,1000,148,4845
textgen,oobabooga,https://github.com/oobabooga/textgen,47286,5751,1268,797,3398,1000,163,1261
cherry-studio,CherryHQ,https://github.com/CherryHQ/cherry-studio,47220,6958,748,944,9204,1002,208,699
quill,slab,https://github.com/slab/quill,47141,5752,5063,571,3271,1027,366,4922
slidev,slidevjs,https://github.com/slidevjs/slidev,47124,3052,1874,173,1183,1003,297,1865
okhttp,square,https://github.com/square/okhttp,46970,6291,5071,77,4196,1008,210,5044
spotube,KRTirtho,https://github.com/KRTirtho/spotube,46921,2155,1943,779,1309,1002,236,1607
serverless,serverless,https://github.com/serverless/serverless,46919,16432,4069,1112,5507,1001,212,3949
acme.sh,acmesh-official,https://github.com/acmesh-official/acme.sh,46865,6614,3820,1150,2463,1005,127,3816
LocalAI,mudler,https://github.com/mudler/LocalAI,46791,6633,1180,150,1300,1000,266,1176
nvm-windows,coreybutler,https://github.com/coreybutler/nvm-windows,46763,542,4282,65,900,1012,443,4274
fanqiang,bannedbook,https://github.com/bannedbook/fanqiang,46709,1407,4166,326,499,1000,168,3921
JeecgBoot,jeecgboot,https://github.com/jeecgboot/JeecgBoot,46705,2268,2754,28,8356,1001,218,2662
bevy,bevyengine,https://github.com/bevyengine/bevy,46571,11620,2335,2725,5642,1001,220,2226
tmux,tmux,https://github.com/tmux/tmux,46476,11268,4025,14,3986,1019,210,4024
prisma,prisma,https://github.com/prisma/prisma,46241,12226,2548,2444,9504,1028,353,3068
awesome-claude-code,hesreallyhim,https://github.com/hesreallyhim/awesome-claude-code,46209,1157,417,444,1061,1003,99,362
monaco-editor,microsoft,https://github.com/microsoft/monaco-editor,46169,3634,3656,763,3237,1004,381,3644
aider,Aider-AI,https://github.com/Aider-AI/aider,46007,13138,1129,1259,2910,1000,227,1127
upscayl,upscayl,https://github.com/upscayl/upscayl,45995,1114,1412,48,1014,1000,174,1385
airflow,apache,https://github.com/apache/airflow,45780,38968,4077,1180,13482,1000,129,4024
architecture-samples,android,https://github.com/android/architecture-samples,45716,830,3779,144,350,1000,307,3722
zx,google,https://github.com/google/zx,45530,1025,1863,22,498,1001,230,1856
Rocket.Chat,RocketChat,https://github.com/RocketChat/Rocket.Chat,45438,29632,4041,2430,14590,1002,245,4034
jest,jestjs,https://github.com/jestjs/jest,45416,7662,4566,172,8028,1015,400,4394
cal.diy,calcom,https://github.com/calcom/cal.diy,45413,16450,1907,1063,8215,1000,240,1899
exo,exo-explore,https://github.com/exo-explore/exo,45296,2351,717,153,739,1011,278,693
CowAgent,zhayujie,https://github.com/zhayujie/CowAgent,45230,2024,1404,14,2113,1001,353,1276
copyparty,9001,https://github.com/9001/copyparty,45185,4632,2573,230,721,1021,260,1935
Leaflet,Leaflet,https://github.com/Leaflet/Leaflet,45181,8150,5741,394,4955,1003,218,5719
iina,iina,https://github.com/iina/iina,45178,4048,3461,1813,2625,1004,296,3443
Umi-OCR,hiroi-sora,https://github.com/hiroi-sora/Umi-OCR,45123,1267,1536,340,519,1005,225,1518
CppCoreGuidelines,isocpp,https://github.com/isocpp/CppCoreGuidelines,45087,2202,3949,242,993,1008,158,3921
streamlit,streamlit,https://github.com/streamlit/streamlit,44933,9853,2483,1097,4828,1003,360,2481
helix,helix-editor,https://github.com/helix-editor/helix,44895,7566,2201,1049,4814,1006,179,1857
pyenv,pyenv,https://github.com/pyenv/pyenv,44879,3692,5032,51,1850,1004,308,4919
grpc,grpc,https://github.com/grpc/grpc,44877,58575,4203,704,11278,1002,112,4165
bruno,usebruno,https://github.com/usebruno/bruno,44838,4362,1352,1282,2909,1006,357,1352
cli,cli,https://github.com/cli/cli,44795,11429,2443,964,5121,1000,371,2438
TrafficMonitor,zhongyang219,https://github.com/zhongyang219/TrafficMonitor,44780,1333,3238,1300,736,1000,423,3118
meteor,meteor,https://github.com/meteor/meteor,44773,42134,5257,227,9062,1001,302,5174
milvus,milvus-io,https://github.com/milvus-io/milvus,44729,24827,2460,712,15223,1002,82,2460
pandoc,jgm,https://github.com/jgm/pandoc,44725,19043,5927,971,7309,1002,84,5909
RSSHub,DIYgod,https://github.com/DIYgod/RSSHub,44651,16915,2992,326,6085,1001,222,2979
hyper,vercel,https://github.com/vercel/hyper,44597,4066,3632,946,2877,1002,424,3591
siyuan,siyuan-note,https://github.com/siyuan-note/siyuan,44392,22211,2111,326,16322,1000,93,2103
qlib,microsoft,https://github.com/microsoft/qlib,44285,2065,2127,295,768,1000,138,2087
sentry,getsentry,https://github.com/getsentry/sentry,44088,105178,5763,1752,15318,1001,248,5760
cobra,spf13,https://github.com/spf13/cobra,44076,1105,4663,244,1001,1005,325,4634
parcel,parcel-bundler,https://github.com/parcel-bundler/parcel,44027,3499,3230,463,5069,1081,397,3107
react-use,streamich,https://github.com/streamich/react-use,43976,3016,2784,365,247,1001,364,2770
EasySpider,NaiboWang,https://github.com/NaiboWang/EasySpider,43964,688,2154,265,496,1000,204,1195
babel,babel,https://github.com/babel/babel,43958,18541,4274,587,8495,1001,119,4269
retrofit,square,https://github.com/square/retrofit,43892,2765,5756,128,2641,1003,271,5638
mitmproxy,mitmproxy,https://github.com/mitmproxy/mitmproxy,43877,11174,5959,370,3302,1033,255,5499
Files,files-community,https://github.com/files-community/Files,43853,6894,2715,485,10764,1006,122,2677
supervision,roboflow,https://github.com/roboflow/supervision,43817,4893,1291,48,481,1000,123,1228
kong,Kong,https://github.com/Kong/kong,43564,11262,4223,65,4535,1021,219,4149
chrome-devtools-mcp,ChromeDevTools,https://github.com/ChromeDevTools/chrome-devtools-mcp,43378,928,273,64,379,1032,390,260
logseq,logseq,https://github.com/logseq/logseq,43342,24671,2210,884,7279,1000,145,2149
fd,sharkdp,https://github.com/sharkdp/fd,43312,1934,3319,127,845,1009,190,3301
pm2,Unitech,https://github.com/Unitech/pm2,43202,5218,4769,1010,4123,1012,361,4751
fuels-ts,FuelLabs,https://github.com/FuelLabs/fuels-ts,43140,1852,1742,57,1400,1003,59,1509
bubbletea,charmbracelet,https://github.com/charmbracelet/bubbletea,43053,1867,2343,104,331,1007,270,2065
zig,ziglang,https://github.com/ziglang/zig,43046,36058,3962,2787,10735,1016,189,3789
jan,janhq,https://github.com/janhq/jan,42975,8069,1029,395,3216,1000,44,1011
payload,payloadcms,https://github.com/payloadcms/payload,42960,15492,1983,373,4234,1000,141,1972
zod,colinhacks,https://github.com/colinhacks/zod,42934,2927,2286,93,3008,1007,357,2279
hyperswitch,juspay,https://github.com/juspay/hyperswitch,42917,7266,1333,1120,2703,1009,180,1296
gradio,gradio-app,https://github.com/gradio-app/gradio,42891,8603,2731,258,6385,1004,202,2603
ccxt,ccxt,https://github.com/ccxt/ccxt,42885,96310,3315,814,10611,1000,68,3263
ray,ray-project,https://github.com/ray-project/ray,42844,30677,3516,2831,19906,1002,111,3487
desktop,zen-browser,https://github.com/zen-browser/desktop,42755,6804,805,470,8761,1000,261,789
DeepSpeed,deepspeedai,https://github.com/deepspeedai/DeepSpeed,42498,3182,2331,1161,2173,1021,168,2306
Alamofire,Alamofire,https://github.com/Alamofire/Alamofire,42392,1678,4333,30,2786,1002,438,4282
diagrams,mingrammer,https://github.com/mingrammer/diagrams,42338,669,2321,315,227,1001,287,2309
Fabric,danielmiessler,https://github.com/danielmiessler/Fabric,42283,3848,889,32,822,1000,361,873
puter,HeyPuter,https://github.com/HeyPuter/puter,42233,5905,830,12,1157,1000,162,827
FlClash,chen08209,https://github.com/chen08209/FlClash,42104,204,1031,786,1064,1000,436,766
GitNexus,abhigyanpatwari,https://github.com/abhigyanpatwari/GitNexus,41959,1236,312,235,644,1000,287,284
swiper,nolimits4web,https://github.com/nolimits4web/swiper,41849,3838,5202,235,5584,1002,232,5185
hexo,hexojs,https://github.com/hexojs/hexo,41751,3747,5009,71,3924,1034,327,4918
fastlane,fastlane,https://github.com/fastlane/fastlane,41640,16849,4209,566,12723,1003,21,4233
black,psf,https://github.com/psf/black,41560,2241,3011,270,2528,1000,267,3009
